INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,7,Cancer of head and neck,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,28,*,2.6677
I00699,7,Cancer of head and neck,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.0786
I00699,7,Cancer of head and neck,RKE,WHITTINGTON HEALTH NHS TRUST,6,*,1.5431
I00699,7,Cancer of head and neck,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,17,*,1.9313
I00699,7,Cancer of head and neck,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,165,10,5.9862
I00699,7,Cancer of head and neck,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",29,8,4.0742
I00699,7,Cancer of head and neck,RLQ,WYE VALLEY NHS TRUST,6,*,1.0974
I00699,7,Cancer of head and neck,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,132,*,6.4726
I00699,8,Cancer of oesophagus,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,83,23,16.7231
I00699,8,Cancer of oesophagus,RCF,AIREDALE NHS FOUNDATION TRUST,20,*,4.0958
I00699,8,Cancer of oesophagus,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,15,*,3.4338
I00699,8,Cancer of oesophagus,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",48,15,14.379
I00699,8,Cancer of oesophagus,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42,8,8.0558
I00699,8,Cancer of oesophagus,R1H,BARTS HEALTH NHS TRUST,65,10,15.4481
I00699,8,Cancer of oesophagus,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51,16,15.2948
I00699,8,Cancer of oesophagus,RC1,BEDFORD HOSPITAL NHS TRUST,22,*,4.3095
I00699,8,Cancer of oesophagus,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,46,12,12.1934
I00699,8,Cancer of oesophagus,RMC,BOLTON NHS FOUNDATION TRUST,42,11,7.1823
I00699,8,Cancer of oesophagus,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,61,10,8.8349
I00699,8,Cancer of oesophagus,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,61,12,7.7778
I00699,8,Cancer of oesophagus,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,21,10,6.4995
I00699,8,Cancer of oesophagus,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,54,11,16.6112
I00699,8,Cancer of oesophagus,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,56,8,10.9312
I00699,8,Cancer of oesophagus,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,10,*,2.8564
I00699,8,Cancer of oesophagus,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,40,11,9.4294
I00699,8,Cancer of oesophagus,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,33,*,8.6849
I00699,8,Cancer of oesophagus,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,46,12,9.1166
I00699,8,Cancer of oesophagus,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,44,14,14.0363
I00699,8,Cancer of oesophagus,RJ6,CROYDON HEALTH SERVICES NHS TRUST,16,*,3.4825
I00699,8,Cancer of oesophagus,RN7,DARTFORD AND GRAVESHAM NHS TRUST,57,15,10.4676
I00699,8,Cancer of oesophagus,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,50,19,14.9253
I00699,8,Cancer of oesophagus,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,15,6,3.7292
I00699,8,Cancer of oesophagus,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,105,26,20.6155
I00699,8,Cancer of oesophagus,RJN,EAST CHESHIRE NHS TRUST,32,10,7.512
I00699,8,Cancer of oesophagus,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,81,22,19.7763
I00699,8,Cancer of oesophagus,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,92,21,23.3262
I00699,8,Cancer of oesophagus,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,95,23,22.1136
I00699,8,Cancer of oesophagus,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,63,15,13.3656
I00699,8,Cancer of oesophagus,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,33,10,6.7237
I00699,8,Cancer of oesophagus,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,93,24,19.6302
I00699,8,Cancer of oesophagus,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,14,*,3.344
I00699,8,Cancer of oesophagus,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,25,8,7.2282
I00699,8,Cancer of oesophagus,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,80,14,14.1887
I00699,8,Cancer of oesophagus,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,43,10,11.0438
I00699,8,Cancer of oesophagus,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,281,18,43.0973
I00699,8,Cancer of oesophagus,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,74,21,20.537
I00699,8,Cancer of oesophagus,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,16,6,4.4462
I00699,8,Cancer of oesophagus,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,15,*,4.364
I00699,8,Cancer of oesophagus,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,210,22,38.9777
I00699,8,Cancer of oesophagus,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,89,9,17.7399
I00699,8,Cancer of oesophagus,R1F,ISLE OF WIGHT NHS TRUST,8,*,2.3978
I00699,8,Cancer of oesophagus,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32,7,9.7031
I00699,8,Cancer of oesophagus,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,11,7,2.836
I00699,8,Cancer of oesophagus,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,28,6,6.8588
I00699,8,Cancer of oesophagus,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,28,*,6.5782
I00699,8,Cancer of oesophagus,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,130,19,18.4185
I00699,8,Cancer of oesophagus,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,169,28,32.2208
I00699,8,Cancer of oesophagus,RJ2,LEWISHAM AND GREENWICH NHS TRUST,28,7,7.3182
I00699,8,Cancer of oesophagus,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,33,12,7.0323
I00699,8,Cancer of oesophagus,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,39,12,6.7647
I00699,8,Cancer of oesophagus,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,61,10,10.8501
I00699,8,Cancer of oesophagus,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,155,16,20.4639
I00699,8,Cancer of oesophagus,RPA,MEDWAY NHS FOUNDATION TRUST,36,13,10.2817
I00699,8,Cancer of oesophagus,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,39,12,10.1048
I00699,8,Cancer of oesophagus,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,107,22,13.8091
I00699,8,Cancer of oesophagus,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,71,14,20.1518
I00699,8,Cancer of oesophagus,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54,16,13.2329
I00699,8,Cancer of oesophagus,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,131,23,22.8757
I00699,8,Cancer of oesophagus,RVJ,NORTH BRISTOL NHS TRUST,33,11,9.0463
I00699,8,Cancer of oesophagus,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,73,12,18.192
I00699,8,Cancer of oesophagus,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,41,10,11.4613
I00699,8,Cancer of oesophagus,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,45,13,12.5299
I00699,8,Cancer of oesophagus,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,29,7,7.2122
I00699,8,Cancer of oesophagus,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,55,15,16.0026
I00699,8,Cancer of oesophagus,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,40,9,6.6671
I00699,8,Cancer of oesophagus,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,57,15,13.0028
I00699,8,Cancer of oesophagus,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,112,44,32.3174
I00699,8,Cancer of oesophagus,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,233,27,31.4409
I00699,8,Cancer of oesophagus,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,171,26,24.2013
I00699,8,Cancer of oesophagus,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,81,17,17.721
I00699,8,Cancer of oesophagus,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,44,17,13.9379
I00699,8,Cancer of oesophagus,RHU,PORTSMOUTH HOSPITALS NHS TRUST,123,24,21.124
I00699,8,Cancer of oesophagus,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,42,12,10.4066
I00699,8,Cancer of oesophagus,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,66,17,16.0439
I00699,8,Cancer of oesophagus,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,85,15,17.2801
I00699,8,Cancer of oesophagus,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,58,9,15.669
I00699,8,Cancer of oesophagus,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,67,9,9.6992
I00699,8,Cancer of oesophagus,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,112,15,19.4717
I00699,8,Cancer of oesophagus,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,43,11,11.5012
I00699,8,Cancer of oesophagus,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,105,13,11.868
I00699,8,Cancer of oesophagus,RNZ,SALISBURY NHS FOUNDATION TRUST,25,10,6.6621
I00699,8,Cancer of oesophagus,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,37,11,10.3811
I00699,8,Cancer of oesophagus,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,215,24,27.7353
I00699,8,Cancer of oesophagus,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,25,10,6.9122
I00699,8,Cancer of oesophagus,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,92,27,21.8423
I00699,8,Cancer of oesophagus,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,126,13,17.8966
I00699,8,Cancer of oesophagus,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,29,10,6.1357
I00699,8,Cancer of oesophagus,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,16,*,3.0092
I00699,8,Cancer of oesophagus,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,66,15,13.1807
I00699,8,Cancer of oesophagus,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,36,7,8.1401
I00699,8,Cancer of oesophagus,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,59,7,7.6181
I00699,8,Cancer of oesophagus,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,32,8,7.72
I00699,8,Cancer of oesophagus,RWJ,STOCKPORT NHS FOUNDATION TRUST,51,12,12.5152
I00699,8,Cancer of oesophagus,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,23,7,6.227
I00699,8,Cancer of oesophagus,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,32,8,8.5593
I00699,8,Cancer of oesophagus,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,45,12,9.4486
I00699,8,Cancer of oesophagus,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,37,8,9.9705
I00699,8,Cancer of oesophagus,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,21,*,7.4897
I00699,8,Cancer of oesophagus,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,201,15,22.504
I00699,8,Cancer of oesophagus,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,28,8,7.4027
I00699,8,Cancer of oesophagus,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",45,17,12.6587
I00699,8,Cancer of oesophagus,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,19,*,4.5304
I00699,8,Cancer of oesophagus,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,72,12,12.9336
I00699,8,Cancer of oesophagus,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,65,16,17.5282
I00699,8,Cancer of oesophagus,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,33,11,7.6816
I00699,8,Cancer of oesophagus,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,83,17,16.8724
I00699,8,Cancer of oesophagus,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,111,11,16.1139
I00699,8,Cancer of oesophagus,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,140,30,28.8362
I00699,8,Cancer of oesophagus,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,431,38,44.7429
I00699,8,Cancer of oesophagus,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,98,15,11.4047
I00699,8,Cancer of oesophagus,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,67,9,9.4293
I00699,8,Cancer of oesophagus,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,174,32,33.6717
I00699,8,Cancer of oesophagus,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,180,18,24.5
I00699,8,Cancer of oesophagus,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52,11,11.9133
I00699,8,Cancer of oesophagus,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,108,15,15.8728
I00699,8,Cancer of oesophagus,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,105,18,16.4077
I00699,8,Cancer of oesophagus,RBK,WALSALL HEALTHCARE NHS TRUST,29,7,7.8508
I00699,8,Cancer of oesophagus,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,25,9,5.1704
I00699,8,Cancer of oesophagus,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,44,10,6.2384
I00699,8,Cancer of oesophagus,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,35,7,7.4708
I00699,8,Cancer of oesophagus,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,50,19,14.2496
I00699,8,Cancer of oesophagus,RA3,WESTON AREA HEALTH NHS TRUST,12,*,2.1975
I00699,8,Cancer of oesophagus,RKE,WHITTINGTON HEALTH NHS TRUST,6,*,1.2902
I00699,8,Cancer of oesophagus,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,45,7,8.2469
I00699,8,Cancer of oesophagus,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,70,18,17.0004
I00699,8,Cancer of oesophagus,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",60,15,13.7545
I00699,8,Cancer of oesophagus,RLQ,WYE VALLEY NHS TRUST,9,*,2.271
I00699,8,Cancer of oesophagus,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,29,10,4.8072
I00699,8,Cancer of oesophagus,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,66,23,17.7816
I00699,9,Cancer of stomach,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49,13,9.0328
I00699,9,Cancer of stomach,RCF,AIREDALE NHS FOUNDATION TRUST,10,*,3.6741
I00699,9,Cancer of stomach,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7,*,2.5119
I00699,9,Cancer of stomach,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",67,12,13.1459
I00699,9,Cancer of stomach,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,19,6,6.6844
I00699,9,Cancer of stomach,R1H,BARTS HEALTH NHS TRUST,61,10,15.4082
I00699,9,Cancer of stomach,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15,*,5.1883
I00699,9,Cancer of stomach,RC1,BEDFORD HOSPITAL NHS TRUST,12,*,4.6369
I00699,9,Cancer of stomach,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,13,*,4.7178
I00699,9,Cancer of stomach,RMC,BOLTON NHS FOUNDATION TRUST,28,9,7.5461
I00699,9,Cancer of stomach,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,65,6,7.9888
I00699,9,Cancer of stomach,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,51,10,7.7511
I00699,9,Cancer of stomach,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8,6,3.1964
I00699,9,Cancer of stomach,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,24,8,8.1982
I00699,9,Cancer of stomach,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,113,9,13.3178
I00699,9,Cancer of stomach,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,19,*,4.0654
I00699,9,Cancer of stomach,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,15,6,5.0098
I00699,9,Cancer of stomach,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,32,8,10.2217
I00699,9,Cancer of stomach,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,15,*,4.5185
I00699,9,Cancer of stomach,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,27,11,7.8144
I00699,9,Cancer of stomach,RJ6,CROYDON HEALTH SERVICES NHS TRUST,19,6,5.7088
I00699,9,Cancer of stomach,RN7,DARTFORD AND GRAVESHAM NHS TRUST,17,*,3.1296
I00699,9,Cancer of stomach,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,45,18,16.2558
I00699,9,Cancer of stomach,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,18,8,5.5108
I00699,9,Cancer of stomach,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,71,18,18.797
I00699,9,Cancer of stomach,RJN,EAST CHESHIRE NHS TRUST,10,*,3.2787
I00699,9,Cancer of stomach,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,29,10,7.6233
I00699,9,Cancer of stomach,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,30,12,9.5683
I00699,9,Cancer of stomach,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,18,9,5.7049
I00699,9,Cancer of stomach,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,19,6,4.7224
I00699,9,Cancer of stomach,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,17,*,4.7829
I00699,9,Cancer of stomach,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,26,7,7.5644
I00699,9,Cancer of stomach,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,9,*,3.187
I00699,9,Cancer of stomach,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,*,1.7746
I00699,9,Cancer of stomach,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,55,9,8.5218
I00699,9,Cancer of stomach,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,19,8,5.5856
I00699,9,Cancer of stomach,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,240,22,32.859
I00699,9,Cancer of stomach,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11,*,3.8466
I00699,9,Cancer of stomach,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,7,*,2.8174
I00699,9,Cancer of stomach,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9,*,3.5063
I00699,9,Cancer of stomach,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,137,26,25.2361
I00699,9,Cancer of stomach,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,94,8,15.5169
I00699,9,Cancer of stomach,R1F,ISLE OF WIGHT NHS TRUST,*,*,0.7719
I00699,9,Cancer of stomach,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,27,12,9.1795
I00699,9,Cancer of stomach,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7,*,2.0816
I00699,9,Cancer of stomach,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,25,9,9.5013
I00699,9,Cancer of stomach,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,16,*,5.0454
I00699,9,Cancer of stomach,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,55,7,8.1514
I00699,9,Cancer of stomach,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,140,27,27.2588
I00699,9,Cancer of stomach,RJ2,LEWISHAM AND GREENWICH NHS TRUST,20,7,7.3082
I00699,9,Cancer of stomach,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,22,8,7.9578
I00699,9,Cancer of stomach,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11,*,1.7618
I00699,9,Cancer of stomach,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,22,*,4.8968
I00699,9,Cancer of stomach,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,80,10,12.3749
I00699,9,Cancer of stomach,RPA,MEDWAY NHS FOUNDATION TRUST,21,10,6.928
I00699,9,Cancer of stomach,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,17,*,4.3047
I00699,9,Cancer of stomach,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,84,14,8.8915
I00699,9,Cancer of stomach,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,51,13,15.2986
I00699,9,Cancer of stomach,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,16,*,4.9095
I00699,9,Cancer of stomach,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69,17,13.4476
I00699,9,Cancer of stomach,RVJ,NORTH BRISTOL NHS TRUST,19,*,6.222
I00699,9,Cancer of stomach,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,40,11,12.5931
I00699,9,Cancer of stomach,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33,8,10.765
I00699,9,Cancer of stomach,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,25,7,7.5086
I00699,9,Cancer of stomach,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,24,*,5.8564
I00699,9,Cancer of stomach,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,20,7,5.9907
I00699,9,Cancer of stomach,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,15,*,3.2253
I00699,9,Cancer of stomach,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,40,12,10.4054
I00699,9,Cancer of stomach,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,44,19,15.1375
I00699,9,Cancer of stomach,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,209,17,21.2172
I00699,9,Cancer of stomach,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,102,13,13.5105
I00699,9,Cancer of stomach,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,31,10,9.7123
I00699,9,Cancer of stomach,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,14,6,4.1148
I00699,9,Cancer of stomach,RHU,PORTSMOUTH HOSPITALS NHS TRUST,54,12,8.7023
I00699,9,Cancer of stomach,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,22,*,4.402
I00699,9,Cancer of stomach,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,26,*,7.7501
I00699,9,Cancer of stomach,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,26,6,5.2572
I00699,9,Cancer of stomach,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,51,13,14.1957
I00699,9,Cancer of stomach,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,92,11,10.8377
I00699,9,Cancer of stomach,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,95,9,12.0265
I00699,9,Cancer of stomach,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,20,6,5.9872
I00699,9,Cancer of stomach,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,125,12,16.0524
I00699,9,Cancer of stomach,RNZ,SALISBURY NHS FOUNDATION TRUST,12,*,3.3878
I00699,9,Cancer of stomach,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,12,*,3.173
I00699,9,Cancer of stomach,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,131,30,27.1178
I00699,9,Cancer of stomach,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,18,12,6.6441
I00699,9,Cancer of stomach,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,41,19,10.8444
I00699,9,Cancer of stomach,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,77,16,13.4446
I00699,9,Cancer of stomach,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,33,9,7.3087
I00699,9,Cancer of stomach,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6,*,1.9218
I00699,9,Cancer of stomach,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,32,*,5.9155
